Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,Index of institutional trust,Gini coefficient of income
Sierra Leone,Sub-Saharan Africa,3.8489999999999998,7.434,0.63,51.651,0.7170000000000001,0.084,0.866,0.953,19.1,0.9620000000000001,9.401,0.33799999999999997,34.03
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774,10.777999999999999,28.2,0.937,8.532,0.526,39.334
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,0.017,17.5,0.7809999999999999,9.186,0.293,38.62
Yemen,Middle East and North Africa,3.658,7.577999999999999,0.8320000000000001,57.122,0.602,-0.147,0.8,2.045,20.3,1.005,8.966000000000001,0.267,36.71
Tanzania,Sub-Saharan Africa,3.623,7.876,0.7020000000000001,57.998999999999995,0.833,0.183,0.5770000000000001,0.035,17.7,0.732,9.152999999999999,0.621,37.78
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.42200000000000004,0.721,2.07,24.3,1.079,9.501,0.21600000000000003,50.945
Malawi,Sub-Saharan Africa,3.6,6.957999999999999,0.537,57.948,0.78,0.038,0.7290000000000001,0.988,18.1,0.667,9.207,0.32299999999999995,44.69
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,2.381,24.0,0.586,9.317,0.27899999999999997,54.18
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.8240000000000001,-0.24600000000000002,0.8009999999999999,1.786,25.8,0.628,9.307,0.435,53.33
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998,0.71,20.3,0.8009999999999999,9.174,0.9059999999999999,43.71
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,2.4419999999999997,19.6,0.645,9.244,0.287,40.363
Afghanistan,South Asia,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924,5.627999999999999,18.6,1.107,8.623,0.046,31.0
